,,,,,,,,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,Shooting %,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,League-Adjusted,Added,Added,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,2P%,3P%,eFG%,FT%,TS%,FTr,3PAr,FG+,2P+,3P+,eFG+,FT+,TS+,FTr+,3PAr+,FG Add,TS Add,Awards,-9999
1,Amen Thompson,23,HOU,PG,65,65,2411,.520,.562,.221,.534,.767,.581,.372,.122,111,103,62,98,98,100,140,29,-16.0,3.9,,thompam01
2,Kevin Durant,37,HOU,SF,64,64,2335,.514,.567,.402,.579,.886,.633,.332,.319,110,104,112,106,113,109,125,77,80.4,140.1,AS,duranke01
3,Tyrese Maxey,25,PHI,PG,61,61,2334,.461,.521,.373,.537,.893,.589,.279,.406,98,95,104,99,114,102,105,98,-17.6,28.4,AS,maxeyty01
4,Toumani Camara,25,POR,PF,69,69,2304,.425,.576,.348,.541,.675,.555,.159,.661,91,105,97,100,86,96,60,159,-3.9,-38.0,,camarto01
5,Mikal Bridges,29,NYK,SF,69,69,2302,.488,.575,.373,.568,.821,.584,.100,.431,104,105,104,105,105,101,38,104,42.3,7.6,,bridgmi01
6,Desmond Bane,27,ORL,SG,67,67,2294,.489,.542,.387,.556,.923,.608,.270,.346,104,99,108,102,118,105,102,83,25.3,65.2,,banede01
7,Julius Randle,31,MIN,PF,68,68,2249,.482,.554,.310,.528,.819,.588,.399,.295,103,101,87,97,105,101,151,71,-31.7,21.0,,randlju01
8,Jalen Brunson,29,NYK,PG,64,64,2231,.464,.515,.376,.533,.845,.581,.292,.367,99,94,105,98,108,100,110,88,-27.0,5.8,AS,brunsja01
9,Scottie Barnes,24,TOR,PF,65,65,2230,.498,.550,.297,.529,.836,.573,.263,.205,106,100,83,97,107,99,99,49,-27.1,-14.4,AS,barnesc01
10,Derrick White,31,BOS,SG,65,65,2228,.395,.483,.330,.490,.903,.531,.188,.577,84,88,92,90,115,92,71,139,-105.5,-103.9,,whitede01
11,Brandon Ingram,28,TOR,SF,65,65,2222,.470,.507,.377,.523,.818,.566,.269,.281,100,93,105,96,104,98,102,68,-45.4,-33.4,AS,ingrabr01
12,Jamal Murray,28,DEN,PG,63,63,2205,.479,.515,.424,.564,.880,.613,.289,.399,102,94,118,104,112,106,109,96,46.9,86.7,AS,murraja01
13,Jabari Smith Jr.,22,HOU,PF,63,63,2199,.455,.543,.363,.544,.782,.573,.212,.488,97,99,101,100,100,99,80,118,0.7,-10.8,,smithja05
14,DeMar DeRozan,36,SAC,PF,68,68,2167,.498,.529,.321,.522,.866,.597,.442,.149,106,97,90,96,111,103,167,36,-38.7,37.8,,derozde01
15,Nickeil Alexander-Walker,27,ATL,SG,65,58,2165,.444,.508,.386,.546,.896,.592,.249,.528,95,93,108,100,114,102,94,127,5.0,28.7,,alexani01
16,Payton Pritchard,28,BOS,PG,66,49,2153,.456,.559,.360,.549,.871,.572,.127,.516,97,102,100,101,111,99,48,124,10.2,-13.8,,pritcpa01
17,Jalen Johnson,24,ATL,SF,61,61,2150,.495,.547,.351,.542,.782,.585,.323,.266,106,100,98,100,100,101,122,64,-2.7,13.5,AS,johnsja05
18,Kon Knueppel,20,CHO,SF,67,66,2141,.488,.563,.438,.619,.873,.652,.218,.597,104,103,122,114,111,112,82,144,136.9,143.0,,knuepko01
19,VJ Edgecombe,20,PHI,SG,61,61,2136,.425,.482,.348,.499,.821,.531,.185,.423,91,88,97,92,105,92,70,102,-72.6,-84.7,,edgecvj01
20,Dyson Daniels,22,ATL,SG,64,64,2132,.509,.573,.129,.518,.606,.530,.160,.143,109,105,36,95,77,91,60,34,-32.3,-69.4,,daniedy01
21,Trey Murphy III,25,NOP,SF,60,60,2122,.474,.573,.386,.576,.882,.616,.236,.530,101,105,108,106,113,106,89,128,62.5,77.3,,murphtr02
22,Donte DiVincenzo,29,MIN,SG,68,68,2101,.419,.515,.389,.568,.761,.584,.134,.763,89,94,109,104,97,101,51,184,33.5,6.9,,divindo01
23,Ryan Rollins,23,MIL,PG,65,58,2101,.471,.516,.412,.561,.775,.580,.146,.438,100,94,115,103,99,100,55,105,30.7,1.0,,rolliry01
24,Cade Cunningham,24,DET,PG,60,60,2090,.461,.511,.347,.514,.813,.566,.330,.308,98,93,97,95,104,98,124,74,-66.5,-35.1,AS,cunnica01
25,Jaden McDaniels,25,MIN,PF,66,66,2089,.519,.565,.418,.585,.851,.620,.230,.314,111,103,117,108,109,107,87,76,58.3,62.4,,mcdanja02
26,Immanuel Quickley,26,TOR,PG,64,64,2088,.444,.521,.375,.543,.820,.580,.240,.524,95,95,105,100,105,100,90,126,-1.0,0.5,,quickim01
27,Jaylen Brown,29,BOS,SF,61,61,2080,.479,.527,.343,.524,.792,.572,.336,.263,102,96,96,96,101,99,127,63,-51.2,-21.8,AS,brownja02
28,Anthony Edwards,24,MIN,SG,58,58,2061,.492,.556,.402,.576,.796,.621,.359,.418,105,102,112,106,102,107,136,101,78.1,114.2,AS,edwaran01
29,Rudy Gobert,33,MIN,C,65,65,2042,.706,.713,.000,.706,.517,.679,.681,.010,151,130,0,130,66,117,257,2,129.6,102.5,,goberru01
30,James Harden,36,2TM,PG,58,58,2027,.431,.499,.364,.523,.886,.606,.471,.508,92,91,102,96,113,105,178,122,-38.2,61.0,,hardeja01
30,James Harden,36,LAC,PG,44,44,1559,.419,.492,.347,.506,.901,.598,.485,.505,89,90,97,93,115,103,183,122,-56.7,33.7,,hardeja01
