Rk,Player,Age,Team,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Amen Thompson,23,HOU,PG,65,65,2411,18.3,.581,.122,.372,8.8,14.2,11.5,20.8,2.0,1.5,14.2,20.2,4.7,3.0,7.7,.152,1.3,0.9,2.2,2.6,,thompam01
2,Kevin Durant,37,HOU,SF,64,64,2335,20.7,.633,.319,.332,1.7,14.8,8.4,19.5,1.1,2.3,13.6,27.2,5.8,2.6,8.3,.171,3.9,0.1,4.0,3.5,AS,duranke01
3,Tyrese Maxey,25,PHI,PG,61,61,2334,22.6,.589,.406,.279,0.8,11.2,5.9,29.7,2.6,2.0,9.0,29.9,5.6,2.5,8.0,.166,5.3,0.6,5.8,4.6,AS,maxeyty01
4,Toumani Camara,25,POR,PF,69,69,2304,10.4,.555,.661,.159,5.2,12.2,8.6,10.9,1.5,1.2,14.1,16.2,1.0,1.9,2.9,.060,-1.6,-0.3,-2.0,0.0,,camarto01
5,Mikal Bridges,29,NYK,SF,69,69,2302,15.7,.584,.431,.100,3.4,10.2,6.8,16.3,2.1,2.5,7.6,17.5,4.1,3.0,7.1,.147,1.5,1.6,3.1,3.0,,bridgmi01
6,Desmond Bane,27,ORL,SG,67,67,2294,17.2,.608,.346,.270,3.9,9.5,6.7,19.5,1.4,1.2,10.6,23.4,4.3,2.1,6.4,.134,1.7,-0.3,1.4,1.9,,banede01
7,Julius Randle,31,MIN,PF,68,68,2249,18.9,.588,.295,.399,5.8,17.0,11.5,23.4,1.5,0.7,12.9,26.3,4.3,2.5,6.7,.144,1.7,-0.2,1.5,2.0,,randlju01
8,Jalen Brunson,29,NYK,PG,64,64,2231,20.3,.581,.367,.292,1.4,9.5,5.4,30.7,1.1,0.4,9.4,30.5,5.8,2.0,7.7,.166,4.2,-1.0,3.2,2.9,AS,brunsja01
9,Scottie Barnes,24,TOR,PF,65,65,2230,18.9,.573,.205,.263,6.6,19.3,12.9,23.7,1.9,4.4,13.9,23.6,2.5,3.6,6.1,.132,1.4,2.0,3.5,3.1,AS,barnesc01
10,Derrick White,31,BOS,SG,65,65,2228,17.1,.531,.577,.188,3.6,10.6,7.1,23.7,1.7,4.2,9.8,23.1,3.4,2.9,6.4,.137,2.8,0.9,3.8,3.3,,whitede01
