Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
1,Luka Dončić,26,LAL,PG,56,56,35.7,10.6,22.4,.474,3.9,10.6,.364,6.8,11.8,.574,.561,7.8,10.1,.774,0.6,7.3,7.9,8.5,1.5,0.6,4.0,2.4,32.9,AS,doncilu01
2,Shai Gilgeous-Alexander,27,OKC,PG,57,57,33.6,10.9,19.9,.549,1.8,4.5,.389,9.1,15.4,.595,.593,8.2,9.1,.893,0.5,4.0,4.5,6.6,1.4,0.8,2.1,2.1,31.7,AS,gilgesh01
3,Anthony Edwards,24,MIN,SG,58,58,35.5,10.1,20.5,.492,3.4,8.6,.402,6.6,11.9,.556,.576,5.9,7.4,.796,0.6,4.5,5.1,3.7,1.4,0.8,2.8,1.9,29.5,AS,edwaran01
4,Tyrese Maxey,25,PHI,PG,61,61,38.3,10.1,21.9,.461,3.3,8.9,.373,6.8,13.0,.521,.537,5.5,6.1,.893,0.3,3.8,4.1,6.7,2.0,0.8,2.4,2.2,29.0,AS,maxeyty01
5,Jaylen Brown,29,BOS,SF,61,61,34.1,10.4,21.6,.479,2.0,5.7,.343,8.4,16.0,.527,.524,5.8,7.3,.792,1.1,5.9,7.1,5.1,1.0,0.4,3.6,2.7,28.4,AS,brownja02
6,Kawhi Leonard,34,LAC,SF,53,53,32.3,9.8,19.6,.501,2.6,6.8,.378,7.2,12.8,.567,.567,6.1,6.8,.897,1.1,5.3,6.3,3.7,2.0,0.4,2.1,1.3,28.3,AS,leonaka01
7,Nikola Jokić,30,DEN,C,53,53,34.6,10.0,17.4,.573,1.8,4.7,.386,8.2,12.7,.642,.625,6.4,7.7,.837,3.0,9.7,12.6,10.6,1.5,0.8,3.8,2.7,28.2,AS,jokicni01
8,Donovan Mitchell,29,CLE,SG,61,61,33.5,9.7,20.3,.479,3.3,9.2,.364,6.4,11.1,.574,.561,5.3,6.2,.854,0.7,3.8,4.5,5.9,1.6,0.3,2.9,2.3,28.0,AS,mitchdo01
9,Giannis Antetokounmpo,31,MIL,PF,36,36,28.9,10.4,16.6,.624,0.4,1.3,.333,9.9,15.4,.647,.636,6.4,9.9,.650,2.7,7.1,9.8,5.4,0.9,0.7,3.2,2.4,27.6,AS,antetgi01
10,Stephen Curry,37,GSW,PG,39,39,31.3,8.9,19.1,.468,4.5,11.5,.391,4.4,7.6,.584,.585,4.9,5.2,.931,0.4,3.1,3.5,4.8,1.1,0.4,2.8,1.9,27.2,AS,curryst01
11,Lauri Markkanen,28,UTA,PF,42,42,34.4,9.1,19.2,.477,2.7,7.7,.355,6.4,11.5,.559,.548,5.7,6.4,.896,2.0,4.9,6.9,2.1,1.0,0.5,1.5,1.8,26.7,,markkla01
12,Joel Embiid,31,PHI,C,33,33,31.2,9.0,18.2,.495,1.3,4.0,.318,7.7,14.2,.545,.530,7.3,8.5,.858,2.0,5.5,7.5,3.9,0.6,1.1,3.0,2.1,26.6,,embiijo01
13,Jalen Brunson,29,NYK,PG,64,64,34.9,9.3,20.0,.464,2.8,7.4,.376,6.5,12.7,.515,.533,5.0,5.9,.845,0.5,3.0,3.4,6.6,0.8,0.1,2.3,2.3,26.3,AS,brunsja01
14,Devin Booker,29,PHO,SG,53,53,33.5,8.5,18.7,.455,1.9,5.8,.322,6.6,12.9,.514,.505,7.0,8.0,.869,0.8,3.2,4.0,5.9,0.8,0.3,3.3,2.6,25.8,AS,bookede01
15,Kevin Durant,37,HOU,SF,64,64,36.5,9.2,17.8,.514,2.3,5.7,.402,6.9,12.1,.567,.579,5.2,5.9,.886,0.6,4.9,5.5,4.4,0.8,0.9,3.2,1.9,25.8,AS,duranke01
16,Jamal Murray,28,DEN,PG,64,64,34.9,8.7,18.2,.479,3.1,7.3,.424,5.6,10.9,.515,.563,4.7,5.3,.877,0.4,3.9,4.4,7.1,0.9,0.4,2.3,1.7,25.2,AS,murraja01
17,Cade Cunningham,24,DET,PG,61,61,34.4,8.7,18.9,.461,2.0,5.8,.346,6.7,13.1,.513,.515,5.1,6.2,.814,0.9,4.7,5.6,9.9,1.5,0.9,3.7,3.1,24.5,AS,cunnica01
18,Michael Porter Jr.,27,BRK,SF,52,52,32.5,8.5,18.4,.463,3.4,9.3,.363,5.2,9.1,.567,.555,3.8,4.4,.859,1.3,5.7,7.1,3.0,1.1,0.3,2.3,2.2,24.2,,portemi01
19,Victor Wembanyama,22,SAS,C,54,45,29.3,8.3,16.4,.506,2.0,5.5,.359,6.3,10.9,.580,.566,5.6,6.9,.811,1.9,9.2,11.1,2.9,1.0,3.0,2.5,2.6,24.2,AS,wembavi01
20,James Harden,36,2TM,PG,59,59,34.9,7.1,16.3,.433,3.0,8.3,.366,4.0,8.0,.503,.526,6.9,7.8,.885,0.6,4.3,4.9,8.0,1.1,0.4,3.6,1.9,24.0,,hardeja01
20,James Harden,36,LAC,PG,44,44,35.4,7.3,17.5,.419,3.1,8.8,.347,4.3,8.7,.492,.506,7.7,8.5,.901,0.6,4.2,4.8,8.1,1.3,0.4,3.7,1.9,25.4,,hardeja01
20,James Harden,36,CLE,PG,15,15,33.4,6.2,12.6,.492,2.9,6.5,.439,3.3,6.1,.549,.606,4.7,5.7,.814,0.7,4.5,5.1,7.6,0.7,0.4,3.4,2.0,19.9,,hardeja01
