,,,,,,,,,,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,% of FGA by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,FG% by Distance,% of FG Ast'd,% of FG Ast'd,Dunks,Dunks,Corner 3s,Corner 3s,1/2 Court,1/2 Court,,-additional
Rk,Player,Age,Team,Pos,G,GS,MP,FG%,Dist.,2P,0-3,3-10,10-16,16-3P,3P,2P,0-3,3-10,10-16,16-3P,3P,2P,3P,%FGA,#,%3PA,3P%,Att.,Md.,Awards,-9999
1,Amen Thompson,23,HOU,PG,65,65,2411,.520,8.1,.878,.364,.337,.115,.063,.122,.562,.756,.472,.337,.333,.221,.502,.957,.191,151,.587,.230,1,0,,thompam01
2,Kevin Durant,37,HOU,SF,64,64,2335,.514,16.3,.681,.061,.151,.313,.157,.319,.567,.797,.605,.520,.536,.402,.455,.712,.039,40,.105,.474,0,0,AS,duranke01
3,Tyrese Maxey,25,PHI,PG,61,61,2334,.461,15.0,.594,.235,.193,.093,.073,.406,.521,.672,.430,.411,.418,.373,.386,.594,.021,26,.072,.359,0,0,AS,maxeyty01
4,Toumani Camara,25,POR,PF,69,69,2304,.425,18.0,.339,.160,.152,.022,.005,.661,.576,.746,.438,.313,.500,.348,.639,.894,.049,33,.299,.288,0,0,,camarto01
5,Mikal Bridges,29,NYK,SF,69,69,2302,.488,14.9,.569,.208,.139,.168,.054,.431,.575,.766,.487,.468,.400,.373,.676,.985,.037,29,.445,.422,0,0,,bridgmi01
6,Desmond Bane,27,ORL,SG,67,67,2294,.489,13.3,.654,.226,.261,.103,.064,.346,.542,.672,.489,.510,.354,.387,.513,.772,.001,1,.188,.424,0,0,,banede01
7,Julius Randle,31,MIN,PF,68,68,2249,.482,12.3,.705,.265,.229,.137,.074,.295,.554,.709,.494,.458,.364,.310,.437,.832,.054,50,.216,.333,0,0,,randlju01
8,Jalen Brunson,29,NYK,PG,64,64,2231,.464,15.4,.633,.115,.217,.204,.097,.367,.515,.655,.471,.481,.516,.376,.215,.576,.000,0,.168,.430,0,0,AS,brunsja01
9,Scottie Barnes,24,TOR,PF,65,65,2230,.498,10.6,.795,.301,.251,.178,.064,.205,.550,.717,.437,.462,.459,.297,.549,.948,.106,91,.241,.298,0,0,AS,barnesc01
10,Derrick White,31,BOS,SG,65,65,2228,.395,19.3,.423,.070,.159,.124,.070,.577,.483,.783,.414,.463,.377,.330,.460,.697,.013,13,.111,.349,0,0,,whitede01
11,Brandon Ingram,28,TOR,SF,65,65,2222,.470,14.9,.719,.146,.129,.266,.179,.281,.507,.720,.372,.492,.453,.377,.439,.933,.036,32,.237,.533,0,0,AS,ingrabr01
12,Jamal Murray,28,DEN,PG,63,63,2205,.479,16.0,.601,.134,.201,.138,.128,.399,.515,.684,.448,.550,.405,.424,.313,.551,.010,11,.102,.489,2,2,AS,murraja01
13,Jabari Smith Jr.,22,HOU,PF,63,63,2199,.455,16.7,.512,.138,.148,.159,.067,.488,.543,.748,.522,.452,.385,.363,.648,.964,.067,51,.350,.391,0,0,,smithja05
14,DeMar DeRozan,36,SAC,PF,68,68,2167,.498,14.2,.851,.086,.193,.304,.268,.149,.529,.766,.572,.480,.477,.321,.423,.884,.010,8,.358,.375,0,0,,derozde01
15,Nickeil Alexander-Walker,27,ATL,SG,65,58,2165,.444,16.3,.472,.220,.127,.073,.052,.528,.508,.638,.383,.425,.385,.386,.539,.922,.008,7,.267,.458,0,0,,alexani01
16,Payton Pritchard,28,BOS,PG,66,49,2153,.456,18.6,.484,.080,.159,.182,.062,.516,.559,.712,.586,.536,.357,.360,.224,.716,.000,0,.072,.471,0,0,,pritcpa01
17,Jalen Johnson,24,ATL,SF,61,61,2150,.495,11.6,.734,.261,.280,.142,.051,.266,.547,.741,.454,.430,.396,.351,.487,.816,.079,80,.065,.222,0,0,AS,johnsja05
18,Kon Knueppel,20,CHO,SF,67,66,2141,.488,18.0,.403,.140,.165,.079,.020,.597,.563,.698,.477,.577,.278,.438,.585,.919,.018,15,.202,.541,1,0,,knuepko01
19,VJ Edgecombe,20,PHI,SG,61,61,2136,.425,14.9,.577,.233,.172,.104,.069,.423,.482,.616,.350,.412,.464,.348,.449,.833,.072,48,.133,.304,0,0,,edgecvj01
20,Dyson Daniels,22,ATL,SG,64,64,2132,.509,7.2,.857,.411,.388,.057,.002,.143,.573,.704,.433,.595,.000,.129,.586,1.000,.075,45,.312,.069,0,0,,daniedy01
21,Trey Murphy III,25,NOP,SF,60,60,2122,.474,16.8,.470,.220,.155,.069,.026,.530,.573,.792,.367,.418,.360,.386,.719,.827,.108,96,.094,.521,0,0,,murphtr02
22,Donte DiVincenzo,29,MIN,SG,68,68,2101,.419,20.7,.237,.106,.092,.028,.012,.763,.515,.603,.444,.421,.500,.389,.583,.917,.020,12,.233,.369,0,0,,divindo01
23,Ryan Rollins,23,MIL,PG,65,58,2101,.471,15.4,.562,.215,.155,.120,.071,.438,.516,.695,.365,.500,.333,.412,.250,.654,.016,14,.231,.438,0,0,,rolliry01
24,Cade Cunningham,24,DET,PG,60,60,2090,.461,13.3,.692,.176,.302,.141,.074,.308,.511,.624,.473,.463,.494,.347,.280,.480,.039,40,.051,.389,0,0,AS,cunnica01
25,Jaden McDaniels,25,MIN,PF,66,66,2089,.519,12.3,.686,.223,.281,.141,.041,.314,.565,.744,.462,.525,.448,.418,.658,.935,.097,58,.391,.477,0,0,,mcdanja02
26,Immanuel Quickley,26,TOR,PG,64,64,2088,.444,17.7,.476,.106,.179,.152,.039,.524,.521,.714,.477,.446,.485,.375,.425,.869,.005,4,.143,.391,0,0,,quickim01
27,Jaylen Brown,29,BOS,SF,61,61,2080,.479,13.8,.737,.153,.261,.173,.150,.263,.527,.757,.488,.450,.449,.343,.329,.563,.027,26,.107,.405,0,0,AS,brownja02
28,Anthony Edwards,24,MIN,SG,58,58,2061,.492,15.7,.582,.182,.152,.147,.101,.418,.556,.759,.475,.497,.400,.402,.296,.565,.043,45,.091,.467,0,0,AS,edwaran01
29,Rudy Gobert,33,MIN,C,65,65,2042,.706,2.4,.990,.764,.209,.013,.005,.010,.713,.796,.434,.600,.000,.000,.669,,.435,158,.500,.000,0,0,,goberru01
30,James Harden,36,2TM,PG,58,58,2027,.431,16.7,.492,.140,.233,.084,.035,.508,.499,.677,.430,.463,.333,.364,.120,.409,.000,0,.054,.269,0,0,,hardeja01
31,James Harden,36,LAC,PG,44,44,1559,.419,16.8,.495,.137,.233,.086,.039,.505,.492,.689,.417,.455,.333,.347,.122,.393,.000,0,.057,.182,0,0,,hardeja01
32,James Harden,36,CLE,PG,14,14,468,.480,16.6,.475,.151,.229,.078,.017,.525,.529,.630,.488,.500,.333,.436,.111,.463,.000,0,.043,.750,0,0,,hardeja01
33,Donovan Mitchell,29,CLE,SG,60,60,2009,.481,16.0,.546,.185,.185,.107,.069,.454,.578,.681,.553,.542,.424,.365,.262,.621,.016,15,.119,.394,0,0,AS,mitchdo01
34,Miles Bridges,27,CHO,PF,63,63,2002,.446,14.2,.558,.219,.282,.042,.016,.442,.537,.708,.442,.378,.286,.330,.517,.923,.066,51,.277,.367,1,1,,bridgmi02
35,Luka Dončić,26,LAL,PG,56,56,2001,.474,17.8,.526,.074,.200,.185,.067,.474,.574,.828,.572,.534,.405,.364,.212,.398,.002,3,.059,.229,0,0,AS,doncilu01
36,Karl-Anthony Towns,30,NYK,C,64,64,1999,.494,11.0,.692,.399,.227,.029,.037,.308,.550,.622,.475,.500,.273,.368,.568,.950,.075,59,.051,.500,0,0,AS,townska01
37,Paolo Banchero,23,ORL,PF,57,57,1993,.461,11.2,.763,.284,.260,.157,.064,.237,.508,.699,.430,.343,.379,.310,.472,.791,.064,50,.171,.432,0,0,,banchpa01
38,Royce O'Neale,32,PHO,SF,68,63,1978,.415,22.9,.174,.060,.087,.023,.004,.826,.480,.676,.347,.462,.500,.401,.596,.936,.007,4,.163,.539,1,1,,onealro01
39,Onyeka Okongwu,25,ATL,C,62,51,1946,.485,13.8,.559,.223,.284,.048,.004,.441,.566,.707,.455,.583,.333,.382,.747,1.000,.067,45,.273,.400,0,0,,okongon01
40,Naji Marshall,28,DAL,SF,66,39,1945,.526,11.2,.738,.218,.363,.134,.024,.262,.604,.781,.566,.484,.235,.306,.498,.947,.014,10,.478,.348,0,0,,marshna01
41,Matas Buzelis,21,CHI,PF,67,67,1940,.469,14.4,.495,.322,.151,.015,.007,.505,.579,.655,.452,.167,.667,.361,.562,.933,.094,69,.258,.383,0,0,,buzelma01
42,Alperen Şengün,23,HOU,C,58,58,1938,.503,8.6,.886,.275,.417,.151,.044,.114,.532,.718,.479,.420,.250,.279,.407,.828,.073,57,.067,.429,0,0,AS,sengual01
43,Collin Gillespie,26,PHO,PG,67,48,1927,.428,21.1,.325,.050,.094,.133,.048,.675,.448,.556,.448,.432,.382,.418,.365,.736,.000,0,.152,.479,0,0,,gilleco01
44,Saddiq Bey,26,NOP,SF,62,54,1916,.448,13.6,.573,.282,.199,.067,.025,.427,.529,.643,.457,.345,.300,.339,.466,.915,.053,43,.313,.349,1,0,,beysa01
45,Brandin Podziemski,22,GSW,SG,68,29,1914,.447,16.5,.530,.161,.165,.132,.072,.470,.517,.699,.543,.376,.314,.369,.544,.779,.010,6,.142,.532,0,0,,podzibr01
46,Cooper Flagg,19,DAL,SF,57,57,1912,.471,11.4,.791,.222,.317,.145,.108,.209,.519,.764,.448,.449,.317,.291,.400,.737,.069,56,.133,.192,0,0,,flaggco01
47,Bam Adebayo,28,MIA,C,60,60,1911,.444,13.1,.661,.208,.256,.149,.049,.339,.506,.663,.448,.443,.326,.323,.616,.951,.076,63,.329,.333,0,0,,adebaba01
48,Wendell Carter Jr.,26,ORL,C,64,64,1896,.509,12.9,.628,.314,.162,.100,.053,.372,.617,.796,.419,.472,.429,.328,.733,1.000,.162,77,.364,.306,0,0,,cartewe01
49,Julian Champagnie,24,SAS,SF,68,54,1892,.432,19.8,.247,.150,.071,.023,.004,.753,.586,.753,.350,.308,.000,.382,.683,.975,.035,20,.363,.381,0,0,,champju02
50,Max Christie,22,DAL,SG,64,55,1887,.452,17.8,.397,.139,.149,.061,.048,.603,.516,.721,.391,.447,.400,.410,.551,.915,.040,22,.362,.452,0,0,,chrisma02
51,Shai Gilgeous-Alexander,27,OKC,PG,56,56,1881,.549,12.8,.772,.218,.174,.275,.105,.228,.598,.755,.490,.589,.474,.385,.180,.268,.014,15,.048,.333,0,0,AS,gilgesh01
52,CJ McCollum,34,2TM,PG,63,47,1880,.447,16.4,.551,.130,.184,.150,.086,.449,.508,.629,.486,.483,.415,.372,.346,.660,.003,2,.148,.381,0,0,,mccolcj01
53,CJ McCollum,34,WAS,SG,35,35,1082,.454,17.0,.539,.108,.187,.159,.085,.461,.505,.632,.455,.524,.422,.393,.326,.667,.004,1,.135,.424,0,0,,mccolcj01
54,CJ McCollum,34,ATL,PG,28,12,798,.438,15.8,.566,.159,.180,.140,.088,.434,.510,.627,.526,.424,.405,.344,.369,.651,.002,1,.164,.333,0,0,,mccolcj01
55,Kris Dunn,31,LAC,PG,68,62,1870,.487,14.2,.560,.195,.268,.085,.012,.440,.574,.750,.491,.486,.200,.376,.455,1.000,.041,15,.398,.431,0,0,,dunnkr01
56,Quentin Grimes,25,PHI,SG,62,15,1862,.447,16.1,.466,.264,.117,.035,.050,.534,.583,.732,.452,.318,.290,.328,.574,.881,.055,29,.220,.384,1,1,,grimequ01
57,De'Aaron Fox,28,SAS,PG,59,59,1862,.490,14.5,.621,.197,.207,.146,.070,.379,.581,.725,.556,.449,.525,.340,.294,.679,.010,8,.219,.486,0,0,AS,foxde01
58,Pascal Siakam,31,IND,PF,55,55,1844,.484,12.4,.740,.195,.288,.179,.077,.260,.527,.709,.544,.393,.316,.362,.472,.865,.010,7,.151,.450,0,0,AS,siakapa01
59,Anthony Black,22,ORL,PG,60,40,1841,.451,13.2,.615,.261,.236,.072,.046,.385,.521,.724,.397,.377,.235,.339,.602,.823,.105,66,.272,.455,1,1,,blackan01
60,Bub Carrington,20,WAS,PG,67,33,1828,.404,20.2,.423,.055,.113,.113,.143,.577,.429,.613,.250,.453,.481,.385,.340,.690,.012,5,.141,.370,0,0,,carrica01
61,A.J. Green,26,MIL,SG,63,59,1828,.420,24.1,.098,.023,.021,.031,.023,.902,.511,.545,.500,.600,.364,.410,.708,.921,.000,0,.278,.508,0,0,,greenaj01
62,OG Anunoby,28,NYK,PF,55,55,1822,.483,13.9,.523,.330,.109,.061,.022,.477,.582,.718,.384,.317,.267,.374,.665,.983,.180,109,.487,.432,0,0,,anunoog01
63,Tim Hardaway Jr.,33,DEN,SG,67,5,1820,.457,20.7,.306,.074,.092,.073,.067,.694,.564,.714,.459,.542,.568,.410,.789,.904,.026,15,.198,.429,0,0,,hardati02
64,Nikola Jokić,30,DEN,C,52,52,1811,.573,11.8,.727,.210,.368,.105,.045,.273,.642,.772,.602,.583,.488,.388,.544,.784,.020,16,.064,.500,0,0,AS,jokicni01
65,Jaime Jaquez Jr.,24,MIA,SF,63,1,1810,.499,9.0,.823,.287,.413,.097,.026,.177,.546,.712,.448,.500,.450,.281,.429,.974,.030,20,.326,.364,0,0,,jaqueja01
